ID,Author,ORCID,OpenAlexAuthorID,NormName,Topic
1,George W. Uetz,0000-0002-6829-7424,https://openalex.org/A5050902057,george w uetz,Renewable_Energy_General
2,Sofia Bajocco,0000-0003-2301-9188,https://openalex.org/A5060015332,sofia bajocco,Renewable_Energy_General
3,Lars Emmelin,,https://openalex.org/A5040421863,lars emmelin,Renewable_Energy_General
4,Cristina Castracani,0000-0001-8802-9614,https://openalex.org/A5086211773,cristina castracani,Renewable_Energy_General
5,Enda Hayes,0000-0002-8735-9491,https://openalex.org/A5070940307,enda hayes,Renewable_Energy_General
6,Eva Hourihan Jansen,0000-0002-0814-3757,https://openalex.org/A5029406355,eva hourihan jansen,Renewable_Energy_General
7,James A. Düke,,https://openalex.org/A5110285017,james a düke,Renewable_Energy_General
8,Eva-Lotta Lindholm,,https://openalex.org/A5012802477,eva-lotta lindholm,Renewable_Energy_General
9,A.J. Pearson,,https://openalex.org/A5110322693,aj pearson,Renewable_Energy_General
10,Caroline Nash,,https://openalex.org/A5110233230,caroline nash,Renewable_Energy_General
11,Pahola Thathiana Benavides,0000-0002-8253-7877,https://openalex.org/A5002326326,pahola thathiana benavides,Solar_Biomass_Production
12,Ian Moffatt,,https://openalex.org/A5002739663,ian moffatt,Renewable_Energy_General
13,Luigi Pari,0000-0003-3851-8625,https://openalex.org/A5029516908,luigi pari,Solar_Biomass_Production
14,Hana Čı́žková,0000-0001-8692-3903,https://openalex.org/A5039852843,hana čıžková,Solar_Biomass_Production
15,Vincenzo Penteriani,0000-0002-9333-7846,https://openalex.org/A5046308852,vincenzo penteriani,Renewable_Energy_General
16,Donald I. Dickmann,,https://openalex.org/A5056827820,donald i dickmann,Solar_Biomass_Production
17,Aude Alaphilippe,0000-0002-4504-2728,https://openalex.org/A5031039605,aude alaphilippe,Renewable_Energy_General
18,Wilhelm Windhorst,,https://openalex.org/A5009940649,wilhelm windhorst,Renewable_Energy_General
19,Ronald van den Hoek,0009-0006-5734-5511,https://openalex.org/A5066306553,ronald van den hoek,Renewable_Energy_General
20,Georgina M. Mace,0000-0001-8965-5211,https://openalex.org/A5018062208,georgina m mace,Renewable_Energy_General
21,Stefan Gustafsson,0000-0001-5894-0351,https://openalex.org/A5016001130,stefan gustafsson,Renewable_Energy_General
22,Rai S. Kookana,0000-0002-0477-3284,https://openalex.org/A5085307835,rai s kookana,Renewable_Energy_General
23,Alan E. Burger,0000-0003-0523-2727,https://openalex.org/A5102888337,alan e burger,Wind_Energy_Impacts
