ID,Institution,OpenAlexInstitutionID,Country,Type,NormName,Topic
1,Consiglio per la ricerca in agricoltura e l’analisi dell’economia agraria,https://openalex.org/I4210125105,IT,government,consiglio per la ricerca in agricoltura e lanalisi delleconomia agraria,Renewable_Energy_General
2,University of Parma,https://openalex.org/I124601658,IT,funder,university of parma,Renewable_Energy_General
3,University of Delaware,https://openalex.org/I86501945,US,funder,university of delaware,Renewable_Energy_General
4,University of East London,https://openalex.org/I157227730,GB,funder,university of east london,Renewable_Energy_General
5,Vishwamitra Research Institute,https://openalex.org/I4210090462,US,facility,vishwamitra research institute,Hydropower_Aquatic
6,University of South Bohemia in České Budějovice,https://openalex.org/I3124161356,CZ,funder,university of south bohemia in české budějovice,Renewable_Energy_General
7,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",https://openalex.org/I4210088668,FR,government,institut national de recherche pour lagriculture lalimentation et lenvironnement,Renewable_Energy_General
8,Christian-Albrechts-Universität zu Kiel,https://openalex.org/I32021983,DE,funder,christian-albrechts-universität zu kiel,Renewable_Energy_General
9,Management Research Institute,https://openalex.org/I4210132097,US,other,management research institute,Renewable_Energy_General
10,CSIRO Land and Water,https://openalex.org/I4210161554,AU,facility,csiro land and water,Renewable_Energy_General
11,University of Amsterdam,https://openalex.org/I887064364,NL,funder,university of amsterdam,Renewable_Energy_General
12,Wageningen University & Research,https://openalex.org/I913481162,NL,funder,wageningen university research,Renewable_Energy_General
13,Hokkaido University,https://openalex.org/I205349734,JP,funder,hokkaido university,Wind_Energy_Impacts
14,University of Wrocław,https://openalex.org/I219388962,PL,funder,university of wrocław,Wind_Energy_Impacts
15,University of Cambridge,https://openalex.org/I241749,GB,funder,university of cambridge,Renewable_Energy_General
16,University of Copenhagen,https://openalex.org/I124055696,DK,funder,university of copenhagen,Renewable_Energy_General
17,UCLouvain,https://openalex.org/I95674353,BE,funder,uclouvain,Renewable_Energy_General
18,"University of Maryland, College Park",https://openalex.org/I66946132,US,funder,university of maryland college park,Renewable_Energy_General
19,Utrecht University,https://openalex.org/I193662353,NL,funder,utrecht university,Renewable_Energy_General
20,University of Tehran,https://openalex.org/I23946033,IR,funder,university of tehran,Renewable_Energy_General
21,Japan Fisheries Research and Education Agency,https://openalex.org/I4210117686,JP,government,japan fisheries research and education agency,Renewable_Energy_General
22,Iowa State University,https://openalex.org/I173911158,US,funder,iowa state university,Renewable_Energy_General
23,Universidade de São Paulo,https://openalex.org/I17974374,BR,funder,universidade de são paulo,Renewable_Energy_General
24,University of St Andrews,https://openalex.org/I16835326,GB,funder,university of st andrews,Wind_Energy_Impacts
25,Technical University of Denmark,https://openalex.org/I96673099,DK,funder,technical university of denmark,Renewable_Energy_General
26,University of Konstanz,https://openalex.org/I189712700,DE,funder,university of konstanz,Hydropower_Aquatic
27,Universitat de Miguel Hernández d'Elx,https://openalex.org/I111262870,ES,education,universitat de miguel hernández delx,Renewable_Energy_General
28,JUNIA,https://openalex.org/I4210116330,FR,education,junia,Renewable_Energy_General
29,Murdoch University,https://openalex.org/I176790772,AU,funder,murdoch university,Renewable_Energy_General
30,Wroclaw University of Economics and Business,https://openalex.org/I305801656,PL,education,wroclaw university of economics and business,Renewable_Energy_General
31,KU Leuven,https://openalex.org/I99464096,BE,funder,ku leuven,Renewable_Energy_General
32,Engineering Systems (United States),https://openalex.org/I4210116219,US,company,engineering systems united states,Renewable_Energy_General
33,University of Kassel,https://openalex.org/I106157433,DE,funder,university of kassel,Renewable_Energy_General
34,University of Antwerp,https://openalex.org/I149213910,BE,funder,university of antwerp,Renewable_Energy_General
35,Eötvös Loránd University,https://openalex.org/I106118109,HU,funder,eötvös loránd university,Renewable_Energy_General
36,Cheltenham Festivals,https://openalex.org/I4210152897,GB,nonprofit,cheltenham festivals,Solar_Biomass_Production
37,Lakehead University,https://openalex.org/I72541430,CA,funder,lakehead university,Renewable_Energy_General
38,Leiden University,https://openalex.org/I121797337,NL,funder,leiden university,Renewable_Energy_General
39,Heriot-Watt University,https://openalex.org/I32062511,GB,funder,heriot-watt university,Renewable_Energy_General
40,Birmingham City University,https://openalex.org/I12870472,GB,funder,birmingham city university,Wind_Energy_Impacts
41,University of Life Sciences in Lublin,https://openalex.org/I158552681,PL,funder,university of life sciences in lublin,Renewable_Energy_General
42,John Wiley & Sons (United States),https://openalex.org/I4210131007,US,funder,john wiley sons united states,Renewable_Energy_General
43,James Hutton Institute,https://openalex.org/I15477984,GB,nonprofit,james hutton institute,Renewable_Energy_General
44,Uppsala University,https://openalex.org/I123387679,SE,funder,uppsala university,Renewable_Energy_General
45,Henley College,https://openalex.org/I2801915933,GB,education,henley college,Renewable_Energy_General
46,National Institute for Interdisciplinary Science and Technology,https://openalex.org/I146682468,IN,funder,national institute for interdisciplinary science and technology,Renewable_Energy_General
47,Evonik (Germany),https://openalex.org/I200439574,DE,funder,evonik germany,Solar_Biomass_Production
48,Hong Kong Baptist University,https://openalex.org/I141568987,HK,funder,hong kong baptist university,Renewable_Energy_General
49,Gheorghe Asachi Technical University of Iași,https://openalex.org/I4210108695,RO,funder,gheorghe asachi technical university of iași,Renewable_Energy_General
50,Institut National de la Recherche Agronomique,https://openalex.org/I1314251682,MA,facility,institut national de la recherche agronomique,Renewable_Energy_General
51,Universidad Michoacana de San Nicolás de Hidalgo,https://openalex.org/I173755004,MX,funder,universidad michoacana de san nicolás de hidalgo,Renewable_Energy_General
52,The Ohio State University,https://openalex.org/I52357470,US,funder,the ohio state university,Renewable_Energy_General
53,University of Aberdeen,https://openalex.org/I195460627,GB,funder,university of aberdeen,Renewable_Energy_General
54,TU Wien,https://openalex.org/I145847075,AT,funder,tu wien,Renewable_Energy_General
55,Universidad de Cádiz,https://openalex.org/I39147953,ES,funder,universidad de cádiz,Renewable_Energy_General
56,Economic Research Service,https://openalex.org/I1335884394,US,government,economic research service,Renewable_Energy_General
57,Swiss Federal Institute of Aquatic Science and Technology,https://openalex.org/I63664421,CH,funder,swiss federal institute of aquatic science and technology,Renewable_Energy_General
58,Universidade Federal do Ceará,https://openalex.org/I243754102,BR,funder,universidade federal do ceará,Wind_Energy_Impacts
59,Finnish Environment Institute,https://openalex.org/I2800424308,FI,government,finnish environment institute,Renewable_Energy_General
60,Fatima Jinnah Women University,https://openalex.org/I6292670,PK,funder,fatima jinnah women university,Renewable_Energy_General
61,University of Pittsburgh,https://openalex.org/I170201317,US,funder,university of pittsburgh,Renewable_Energy_General
62,Agricultural Research Service,https://openalex.org/I1312222531,US,government,agricultural research service,Renewable_Energy_General
63,Universitat Autònoma de Barcelona,https://openalex.org/I123044942,ES,funder,universitat autònoma de barcelona,Renewable_Energy_General
64,University of Sassari,https://openalex.org/I159650629,IT,funder,university of sassari,Renewable_Energy_General
65,"Islamic Azad University, Tehran",https://openalex.org/I110525433,IR,funder,islamic azad university tehran,Renewable_Energy_General
66,Universidade Nova de Lisboa,https://openalex.org/I83558840,PT,funder,universidade nova de lisboa,Renewable_Energy_General
67,University of Wisconsin–Madison,https://openalex.org/I135310074,US,funder,university of wisconsinmadison,Renewable_Energy_General
68,University of Minnesota,https://openalex.org/I130238516,US,funder,university of minnesota,Renewable_Energy_General
69,University of Twente,https://openalex.org/I94624287,NL,funder,university of twente,Renewable_Energy_General
70,University of Technology Malaysia,https://openalex.org/I4576418,MY,funder,university of technology malaysia,Renewable_Energy_General
71,Marine Scotland,https://openalex.org/I1289431368,GB,government,marine scotland,Wind_Energy_Impacts
72,University of Shahrood,https://openalex.org/I176861719,IR,funder,university of shahrood,Renewable_Energy_General
73,Swedish University of Agricultural Sciences,https://openalex.org/I298625061,SE,funder,swedish university of agricultural sciences,Renewable_Energy_General
74,University of Tsukuba,https://openalex.org/I146399215,JP,funder,university of tsukuba,Renewable_Energy_General
75,Institute for Sustainability,https://openalex.org/I4210148180,GB,nonprofit,institute for sustainability,Renewable_Energy_General
76,University of Pennsylvania,https://openalex.org/I79576946,US,funder,university of pennsylvania,Renewable_Energy_General
77,DHI,https://openalex.org/I4210159723,DK,other,dhi,Renewable_Energy_General
78,"University of California, Berkeley",https://openalex.org/I95457486,US,funder,university of california berkeley,Renewable_Energy_General
79,Central Salt and Marine Chemicals Research Institute,https://openalex.org/I128420443,IN,funder,central salt and marine chemicals research institute,Renewable_Energy_General
80,Stanford University,https://openalex.org/I97018004,US,funder,stanford university,Renewable_Energy_General
81,Istituto di Biometeorologia,https://openalex.org/I4210153575,IT,facility,istituto di biometeorologia,Renewable_Energy_General
82,Delft University of Technology,https://openalex.org/I98358874,NL,funder,delft university of technology,Renewable_Energy_General
83,Consejo Superior de Investigaciones Científicas,https://openalex.org/I134820265,ES,government,consejo superior de investigaciones científicas,Renewable_Energy_General
84,Université de Lorraine,https://openalex.org/I90183372,FR,funder,université de lorraine,Renewable_Energy_General
85,Cambridge Electronics (United States),https://openalex.org/I4210112840,US,company,cambridge electronics united states,Renewable_Energy_General
86,Norwegian University of Science and Technology,https://openalex.org/I204778367,NO,funder,norwegian university of science and technology,Renewable_Energy_General
87,University of Trento,https://openalex.org/I193223587,IT,funder,university of trento,Renewable_Energy_General
88,University of Modena and Reggio Emilia,https://openalex.org/I122346577,IT,funder,university of modena and reggio emilia,Solar_Biomass_Production
89,Southwest Minnesota State University,https://openalex.org/I65625852,US,funder,southwest minnesota state university,Renewable_Energy_General
90,University of Siena,https://openalex.org/I102064193,IT,funder,university of siena,Renewable_Energy_General
91,Universiti Sains Malaysia,https://openalex.org/I139322472,MY,funder,universiti sains malaysia,Renewable_Energy_General
92,Weihenstephan-Triesdorf University of Applied Sciences,https://openalex.org/I309496635,DE,education,weihenstephan-triesdorf university of applied sciences,Renewable_Energy_General
93,Natural Resources Institute Finland,https://openalex.org/I3017910207,FI,government,natural resources institute finland,Renewable_Energy_General
94,University of Toledo,https://openalex.org/I90871651,US,funder,university of toledo,Renewable_Energy_General
95,Steinbeis Foundation,https://openalex.org/I2803021693,DE,other,steinbeis foundation,Renewable_Energy_General
96,Australian Museum,https://openalex.org/I1328215151,AU,funder,australian museum,Renewable_Energy_General
97,National Institute for Public Health and the Environment,https://openalex.org/I4210104433,NL,funder,national institute for public health and the environment,Renewable_Energy_General
98,BOKU University,https://openalex.org/I92869138,AT,funder,boku university,Renewable_Energy_General
99,Beijing Normal University,https://openalex.org/I25254941,CN,funder,beijing normal university,Renewable_Energy_General
100,European Forest Institute,https://openalex.org/I182247830,FI,nonprofit,european forest institute,Unknown
101,American Museum of Natural History,https://openalex.org/I1338124936,US,funder,american museum of natural history,Renewable_Energy_General
102,Leibniz Association,https://openalex.org/I315704651,DE,government,leibniz association,Renewable_Energy_General
103,Technische Universität Braunschweig,https://openalex.org/I94509681,DE,funder,technische universität braunschweig,Wind_Energy_Impacts
104,University of Bucharest,https://openalex.org/I141595442,RO,funder,university of bucharest,Renewable_Energy_General
105,Luleå University of Technology,https://openalex.org/I190632392,SE,funder,luleå university of technology,Renewable_Energy_General
106,University of Strathclyde,https://openalex.org/I181647926,GB,funder,university of strathclyde,Renewable_Energy_General
107,State Key Joint Laboratory of Environment Simulation and Pollution Control,https://openalex.org/I4210128533,CN,facility,state key joint laboratory of environment simulation and pollution control,Renewable_Energy_General
108,CSIRO Oceans and Atmosphere,https://openalex.org/I1281210470,AU,facility,csiro oceans and atmosphere,Renewable_Energy_General
109,Westerdijk Fungal Biodiversity Institute,https://openalex.org/I4210113371,NL,facility,westerdijk fungal biodiversity institute,Unknown
110,Portland State University,https://openalex.org/I126345244,US,funder,portland state university,Renewable_Energy_General
111,University of Tartu,https://openalex.org/I56085075,EE,funder,university of tartu,Renewable_Energy_General
112,Universidade Federal do Rio de Janeiro,https://openalex.org/I122140584,BR,funder,universidade federal do rio de janeiro,Renewable_Energy_General
113,Aalto University,https://openalex.org/I9927081,FI,funder,aalto university,Renewable_Energy_General
114,Technical University of Munich,https://openalex.org/I62916508,DE,funder,technical university of munich,Renewable_Energy_General
115,NHS Highland,https://openalex.org/I4210099570,GB,healthcare,nhs highland,Renewable_Energy_General
116,Isfahan University of Technology,https://openalex.org/I170013655,IR,funder,isfahan university of technology,Renewable_Energy_General
117,Aristotle University of Thessaloniki,https://openalex.org/I21370196,GR,funder,aristotle university of thessaloniki,Renewable_Energy_General
118,Rochester Institute of Technology,https://openalex.org/I155173764,US,education,rochester institute of technology,Renewable_Energy_General
119,University of Basel,https://openalex.org/I1850255,CH,funder,university of basel,Renewable_Energy_General
120,Norsk Hydro (Germany),https://openalex.org/I185298739,DE,company,norsk hydro germany,Renewable_Energy_General
121,Trinity University,https://openalex.org/I60060512,US,education,trinity university,Renewable_Energy_General
122,Office of Scientific and Technical Information,https://openalex.org/I139351228,US,government,office of scientific and technical information,Wind_Energy_Impacts
123,Stockholm School of Economics,https://openalex.org/I180242103,SE,education,stockholm school of economics,Renewable_Energy_General
124,Universidad de Londres,https://openalex.org/I4210160447,MX,education,universidad de londres,Unknown
125,University of Borås,https://openalex.org/I992397,SE,funder,university of borås,Renewable_Energy_General
126,Tribhuvan University,https://openalex.org/I155028946,NP,funder,tribhuvan university,Renewable_Energy_General
127,National Research Council Canada,https://openalex.org/I4210159778,CA,government,national research council canada,Renewable_Energy_General
128,Centre National de la Recherche Scientifique,https://openalex.org/I1294671590,FR,government,centre national de la recherche scientifique,Renewable_Energy_General
129,Xiamen University,https://openalex.org/I191208505,CN,funder,xiamen university,Renewable_Energy_General
130,The University of Queensland,https://openalex.org/I165143802,AU,funder,the university of queensland,Renewable_Energy_General
131,Oak Ridge National Laboratory,https://openalex.org/I1289243028,US,funder,oak ridge national laboratory,Renewable_Energy_General
132,Bridge University,https://openalex.org/I4210096386,SS,education,bridge university,Unknown
133,Leibniz Institute for Baltic Sea Research Warnemünde,https://openalex.org/I2800614204,DE,funder,leibniz institute for baltic sea research warnemünde,Renewable_Energy_General
134,University of Tübingen,https://openalex.org/I8087733,DE,funder,university of tübingen,Renewable_Energy_General
135,University of Florida,https://openalex.org/I33213144,US,funder,university of florida,Renewable_Energy_General
136,BioConsult SH (Germany),https://openalex.org/I4210156082,DE,company,bioconsult sh germany,Wind_Energy_Impacts
137,Aalborg University,https://openalex.org/I891191580,DK,funder,aalborg university,Renewable_Energy_General
138,Centre for European Policy Studies,https://openalex.org/I4210086988,BE,nonprofit,centre for european policy studies,Renewable_Energy_General
139,Pontificia Universidad Católica de Chile,https://openalex.org/I162148367,CL,funder,pontificia universidad católica de chile,Renewable_Energy_General
140,Joint Research Centre,https://openalex.org/I4210162697,NL,government,joint research centre,Unknown
141,University of Sussex,https://openalex.org/I162608824,GB,funder,university of sussex,Renewable_Energy_General
142,Federal Agency for Nature Conservation,https://openalex.org/I2801097748,DE,government,federal agency for nature conservation,Wind_Energy_Impacts
143,US Forest Service,https://openalex.org/I1313416372,US,government,us forest service,Renewable_Energy_General
144,Eskişehir City Hospital,https://openalex.org/I4210091745,TR,healthcare,eskişehir city hospital,Renewable_Energy_General
145,University of Maryland Center for Environmental Science,https://openalex.org/I149521062,US,funder,university of maryland center for environmental science,Renewable_Energy_General
146,Consejo Nacional de Investigaciones Científicas y Técnicas,https://openalex.org/I151201029,AR,government,consejo nacional de investigaciones científicas y técnicas,Renewable_Energy_General
147,Joint Research Centre,https://openalex.org/I4210118689,IT,government,joint research centre,Unknown
148,Agroécologie,https://openalex.org/I4210100404,FR,facility,agroécologie,Renewable_Energy_General
149,University of Udine,https://openalex.org/I129043915,IT,funder,university of udine,Renewable_Energy_General
